date,indicator_name,classification1,classification2,close,category,region,refresh,source,unit,code,series_name,label_raw
2022-01-01,消費税を除く国内企業物価指数,(参考)夏季電力料金調整後,小類別/__電力,110.2,Inflation,Japan,monthly,Bank of Japan,Index 2020=100,PRCG20_12G2230001,企業物価指数 2020年基準/消費税を除く国内企業物価指数,(参考)夏季電力料金調整後/小類別/__電力
2022-01-01,消費税を除く国内企業物価指数,(参考)夏季電力料金調整後,類別/_電力・都市ガス・水道,113.7,Inflation,Japan,monthly,Bank of Japan,Index 2020=100,PRCG20_12G2220001,企業物価指数 2020年基準/消費税を除く国内企業物価指数,(参考)夏季電力料金調整後/類別/_電力・都市ガス・水道
2022-01-01,消費税を除く国内企業物価指数,品目,18リットル缶,98.5,Inflation,Japan,monthly,Bank of Japan,Index 2020=100,PRCG20_1201150011,企業物価指数 2020年基準/消費税を除く国内企業物価指数,品目/____18リットル缶
2022-01-01,消費税を除く国内企業物価指数,品目,あん,101.3,Inflation,Japan,monthly,Bank of Japan,Index 2020=100,PRCG20_1200150058,企業物価指数 2020年基準/消費税を除く国内企業物価指数,品目/____あん
2022-01-01,消費税を除く国内企業物価指数,品目,うず巻ポンプ,101.2,Inflation,Japan,monthly,Bank of Japan,Index 2020=100,PRCG20_1201250004,企業物価指数 2020年基準/消費税を除く国内企業物価指数,品目/____うず巻ポンプ
2022-01-01,消費税を除く国内企業物価指数,品目,うま味・風味調味料,98.2,Inflation,Japan,monthly,Bank of Japan,Index 2020=100,PRCG20_1200150051,企業物価指数 2020年基準/消費税を除く国内企業物価指数,品目/____うま味・風味調味料
2022-01-01,消費税を除く国内企業物価指数,品目,おう版印刷物,100.4,Inflation,Japan,monthly,Bank of Japan,Index 2020=100,PRCG20_1201950011,企業物価指数 2020年基準/消費税を除く国内企業物価指数,品目/____おう版印刷物
2022-01-01,消費税を除く国内企業物価指数,品目,かつおパック,103.4,Inflation,Japan,monthly,Bank of Japan,Index 2020=100,PRCG20_1200150012,企業物価指数 2020年基準/消費税を除く国内企業物価指数,品目/____かつおパック
2022-01-01,消費税を除く国内企業物価指数,品目,かばん・袋物,99.5,Inflation,Japan,monthly,Bank of Japan,Index 2020=100,PRCG20_1201950024,企業物価指数 2020年基準/消費税を除く国内企業物価指数,品目/____かばん・袋物
2022-01-01,消費税を除く国内企業物価指数,品目,がん具,99.6,Inflation,Japan,monthly,Bank of Japan,Index 2020=100,PRCG20_1201950025,企業物価指数 2020年基準/消費税を除く国内企業物価指数,品目/____がん具
2022-01-01,消費税を除く国内企業物価指数,品目,ころ軸受,100.7,Inflation,Japan,monthly,Bank of Japan,Index 2020=100,PRCG20_1201250019,企業物価指数 2020年基準/消費税を除く国内企業物価指数,品目/____ころ軸受
2022-01-01,消費税を除く国内企業物価指数,品目,こんにゃく,100.0,Inflation,Japan,monthly,Bank of Japan,Index 2020=100,PRCG20_1200150060,企業物価指数 2020年基準/消費税を除く国内企業物価指数,品目/____こんにゃく
